

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合
使用心得：本来13号要出差，怕赶不及签收本来想退款的，没想到快递那么快。口红能扫描出产品信息，至于是不是正品本人比较粗心无法鉴别，只是感觉和以前在专柜买的一样好用，容易上色，不干挺滋润的，颜色也正，这样的和正品也没啥差别了。,使用心得：物流太慢了。但是收到的东西还不错，挺水润的，保湿很好，第一张照片上面是薄涂，下面是厚涂。第三张是强光下的，第四张是正常灯下的。查了二维码和条形码应该是真的。试了这款304以后感觉像YSL52（星星色）的加深款，只是涂起来，薄涂可以和星星色媲美！但是感觉304比较适合皮肤白的妹纸（本人感觉有些挑皮），超显气色，夏天薄涂，冬天厚涂，但是不管怎样涂都要做好唇部打底,使用心得：口红看着不错，包装也精美，希望用的好，挺好的第三方，发货也快，京东商城的推荐值得信赖,使用心得：小羊皮 怎么这个样子 ?,使用心得：颜色还好，就是质量一般，用完一看都快断了，口红中间除了logo外还有一道道的沟痕不知道是不是产品本身问题,使用心得：商品还不错，闻着也蛮香的，给朋友的生日礼物还行，下次还会在购买的，,使用心得：送朋友的生日礼物，物流很快，东西朋友很喜欢。必须好评,使用心得：买来送给朋友的，不过朋友很喜欢，超棒的一款，继续支持,使用心得：老婆很喜欢，第二次购买,使用心得：服务态度非常好，物流快，太感谢了


使用心得：挺好的，很滋润，礼盒也好看,使用心得：唇膏整体的外壳手里拿着蛮轻的，莫名的廉价感，还好吧,使用心得：真的没话说，跟专柜价格没啥区别，质量可以，物流也可以，买给女朋友的，她肯定会可喜欢的。,使用心得：蛮高大上的 ?,使用心得：买给媳妇的，她特别喜欢，快递也挺快的，包装挺精致，赞,使用心得：东西到了，很满意。客服和快递小哥态度非常好啊,使用心得：颜色不错，很滋润而且,使用心得：老公送的礼物，唇膏底部有520字样，颜色很好看,使用心得：情人节送女朋友的。很喜欢。店家服务态度也不错。之前选了一家两天没发货，就退了选的这个。三天就到了。以后还会再来！,使用心得：东西确实不错只是和想象中稍稍有些差距，不过主要的999还是很好  迪奥999 没有女孩会不喜欢的。





使用心得：是正品上色效果很好，粉色的特别喜欢，棒棒哒,使用心得：唇色自然，好看，也很滋润，这个价格物超所值！值得购买！很满意的一次购物！店家还送了两片面膜一条量衣小皮尺，有心了！,使用心得：颜色特别美，很好看，超级喜欢,使用心得：今天用了一次，很显肤色，口红是正品的，非常喜欢,使用心得：宝贝收到了，正品很满意，颜色也很好看,使用心得：膏体很香。颜色也很适合我，天天都带着它,使用心得：诗诗的同款，确实很好看，是正品,使用心得：颜色很美，很显气质，还有淡淡的香味,使用心得：口红颜色好美，看上去高档，喜欢。,使用心得：喜欢颜色很好，用了也很保湿，款式也挺好看的


使用心得：拍的基本没什么色差，大家参考。黄皮不是很友好，颜色有点挑人，不注意就有点村。颜色与蜜丝佛陀827迷之相像！只看颜色的话宁愿买蜜丝佛陀827，但是蜜丝佛陀有股橡皮泥味道，兰蔻的滋润不拔干也不臭。包装设计不如ysl好看。还有就是这种膏体形状很不好涂边边角角，不贴合嘴型总体来说性价比一般。最大优点不拔干……,使用心得：前面薄涂，后面厚涂。。。，很自然的颜色，日常可以用。很喜欢！！！,使用心得：不知道真的假的，看图吧，怎么浮一层啊。是我嘴唇太干吗？,使用心得：一直在用迪奥的彩妆和护肤品，奢侈品牌，效果好，价格肯定就贵了，正品！以前用过这款颜色，但是夏天天热断掉了！好可惜呢！京东迪奥的化妆品好少啊，希望完善！这样大家选择的余地就多了！?，价格比实体店便宜21元,使用心得：拿到东西感叹迪奥的东西也太简陋了，简陋就算了，黑条盒子封口都没有，直接就可以上下打开，盒子底部钢印和口红底部批号一致是6x01，不会辨认真假，百度后两个地方如图和别人不太一样。打了润唇膏后淡淡的涂了一点在嘴唇上，以为带点珊瑚橘色，没感觉到橘色的存在，不过颜色还是不错的，实事求是的评价。,使用心得：比999明亮，很显气色的橘红色系，适合秋冬，不化妆也能hold得住。,使用心得：送给老婆的 挺喜欢这款口红。夜里还专门抹好口红犒劳我。值,使用心得：很不错 很开心 颜色刚好适合我 第二只迪奥 很喜欢,使用心得：东西还行吧嗯，包装还可以，如果有一个礼品盒就更好了，然后就是，正品不正品？，应该是正品吧！？ 自我安慰?,使用心得：还可以，买了2个颜色有点浅，
使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：已经是第二次买了，真的是正品，推荐给大家，999颜色很漂亮，淡妆浓妆都很适宜，真心不错，好评,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~

使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：还不错，三四天就收到了…这个颜色不适合皮肤黑的人用，显的更黑了…我是黄皮肤，感觉不是正红，，还是差点意思,使用心得：老婆超喜欢，实惠便宜，下次继续买一个更好的,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：很好对象很喜欢，闻起来有淡淡哒香味真的很棒！




使用心得：挺好看的颜色.是正品。。,使用心得：买太多次了，自已用送朋友都是最好的选择，超爱的，每个味道都不错，换个味道换个心情，以后还会经常来的，包装好，发货也快。必须好评。,使用心得：43号色是很百搭很显气色的颜色.非常美！,使用心得：老婆很喜欢！！！！！！！,使用心得：是正品，特别好用，口红颜色很正，很喜欢！,使用心得：特别好用，颜色很喜欢，完美.是正品.,使用心得：是正品.唇膏非常不错，颜色很自然.且不易脱色,使用心得：口红不错，是正品，女朋友蛮喜欢的,使用心得：女友用了是正品，颜色漂亮,"使用心得：这个颜色好美惊艳到上唇很元气很有气色颜色真的好美,搭配唇蜜简直了"
使用心得：还不错 老婆喜欢??,使用心得：还不错，刚刚使用,使用心得：不错，颜色很正，很润，喜欢！,使用心得：不想说话，看图，不想说话，看图,使用心得：好用润唇膏保湿时间长颜色不错润唇效果好包装好是正品,使用心得：买给妈妈的，其实三个颜色相差不大主要是润唇的效果很好，有微微的闪星,使用心得：包装不错，是正品，使用效果很好，保湿时间长，很喜欢,使用心得：不错哦，不错哦，不错哦，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,使用心得：不错，搽了很舒服，也不干了，滋润效果很好,使用心得：很喜欢，很好用，很认真，下次还会在京东购买，支持京东

使用心得：包装好！物流快！真品,使用心得：发货就先不用说了～第一天拍第二天就到货了，早就听说过[#]的口红很好用，性 比超高～没想到真的是这样～大爱啊～我这个人也比较容易满足～刚拿到货就迫不及待拿来用了～女朋友大爱！,使用心得：颜色很喜欢，淡淡的香味，涂上很好看，下次还会购买,使用心得：买的时候说有礼物，收到货一看除了口红啥都没有，客户也没人回复，而且袋子上包装盒上什么logo都没有，这情况真不知道是真货还是假货了！,使用心得：包装很精细，物流配送非常快，超喜欢,使用心得：挺好看的，我喜欢图薄薄的，粉嫩嫩的很好看,使用心得：颜色很好没有色差，媳妇很喜欢，是正品，大爱，买这款没错←_←满意满意满意,使用心得：非常好，和店里买的一样是正品，001号颜色很淡像润唇膏我很喜欢！,使用心得：口红特别润，颜色特别漂亮，超过我所期待！,使用心得：好用好看！就是有点儿贵！


使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：还行，色彩饱和度很高,使用心得：女朋友很喜欢?,使用心得：买给老婆的，她很喜欢，涂上之后漂亮多了，好诱人,使用心得：女朋友挺喜欢的，就买了，生活总是要有点小惊喜,使用心得：女朋友喜欢 她喜欢我就喜欢,使用心得：东西很不错，老婆很喜欢。,使用心得：还可以，好好的。,使用心得：颜色非常漂亮！大爱
使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！,使用心得：是正品，找人鉴定过了，不过看贴的标签。。。难道是专柜货。。。不过条码扫不到，应该没问题
